UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
012511600006,01251160000,70110,,WHOLESOME,WHOLESOME MOLASSES BLACKSTRAP ORG FTC,16.00,OZ,12,57.000,6.79,Natural Grocery,GRANULATED LIQ,MOLLASSES,SWEETENERS HONEY,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000006,9.00,8.000,19.680
789968000023,78996800002,70118,,HEINZ,HEINZ BEAN BAKED,13.70,OZ,12,38.160,4.59,Specialty Groce,BEANS GRAINS RI,BRITISH,BEANS GRAINS RICE,SPECIALTY GROCERY,100,ACTIVE,0000017,11.80,4.200,25.500
073416040588,07341604058,70173,,LUNDBERG,LUNDBERG RICE BRWN JASMINE ORG,32.00,OZ,6,46.260,11.09,Natural Grocery,BEANS GRAINS RI,PACKAGED RICE,BEANS GRAINS RICE,NATURAL GROCERY,100,ACTIVE,0000008,10.25,6.750,13.000
859975002386,85997500238,70296,,ANDALOU NATURAL,ANDALOU NATURALS SHAMPOO AGE DEFYING TRTMN,11.50,OZ,1,5.680,9.99,Health Body Car,HAIR CARE,SHAMPOO,HAIR CARE,HEALTH BODY CARE,100,MANUFACTURER_TEMP_OUT,0000006,4.87,6.870,5.400
859975002393,85997500239,70298,,ANDALOU NATURAL,ANDALOU NATURALS CONDTNR AGE DEFYING T,11.50,OZ,1,5.680,9.99,Health Body Car,HAIR CARE,CONDITIONER,HAIR CARE,HEALTH BODY CARE,100,ACTIVE,0000006,4.87,6.870,5.400
071998500001,07199850000,70312,,TONY CHACHERES,TONY CHACHERES MARINADE & INJ BTTR REGULAR,17.00,OZ,6,34.020,8.19,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000009,6.50,8.300,7.260
071998500025,07199850002,70314,,TONY CHACHERES,TONY CHACHERES MARINADE & INJ BUTTER JALAPENO,17.00,OZ,6,34.020,8.19,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000010,6.20,6.250,8.130
071998500070,07199850007,70315,,TONY CHACHERES,TONY CHACHERES MARINADE & INJ HNY PRLN HAM,17.00,OZ,6,34.020,8.19,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000011,6.00,8.500,7.080
078342780744,07834278074,70400,,WESTERN,WESTERN WOOD CHIP SMKNG MESQUITE,2.250,LB,6,17.760,4.29,General Merchan,MISC GENERAL ME,OUTDOOR GRILLING ICE,MISC GENERAL MERCH ITEMS,GENERAL MERCHANDISE,100,ACTIVE,0000023,14.50,6.000,11.540
078342780751,07834278075,70401,,WESTERN,WESTERN WOOD CHIP SMKNG HICKORY,2.250,LB,6,17.760,4.29,General Merchan,MISC GENERAL ME,OUTDOOR GRILLING ICE,MISC GENERAL MERCH ITEMS,GENERAL MERCHANDISE,100,ACTIVE,0000023,14.50,6.000,13.080
077544400047,07754440004,70525,,OSEM,OSEM BREADCRUMB PLAIN,15.00,OZ,12,46.200,5.59,Specialty Groce,DAILY KOSHER,CONDIMENTS DRESSINGS,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000011,11.50,8.800,13.200
042272005307,04227200530,70639,,AMYS,AMYS CHILI BLCKBN ORG,14.70,OZ,12,47.640,5.69,Natural Grocery,SS SOUP CHILI B,CHILI,SS SOUP CHILI BROTH STOCK BLLN,NATURAL GROCERY,100,ACTIVE,0000012,9.00,4.560,13.000
072457880559,07245788055,70645,,WALDEN FARMS,WALDEN FARMS SYRUP CF CHOC GF,12.00,FO,6,22.080,5.29,Specialty Groce,SS DESSERT CONE,DESSERT SAUCE SYRUP,SS DESSERT,SPECIALTY GROCERY,100,ACTIVE,0000007,5.10,7.700,8.500
032917001597,03291700159,70687,,TRADITIONAL MED,TRADITIONAL MEDICINALS TEA THROAT COAT LEMON,16.00,BG,6,27.240,6.49,Natural Grocery,TEA,MEDICINAL TEA - BAGS,TEA,NATURAL GROCERY,100,ACTIVE,0000004,8.38,6.750,1.140
071524018246,07152401824,70695,,LA PREFERIDA,LA PREFERIDA BEAN PINTO JALAPENO,29.00,OZ,12,40.560,4.89,Specialty Groce,AUTHENTIC MEXIC,BEANS GRAINS RICE,BEANS GRAINS RICE,SPECIALTY GROCERY,100,ACTIVE,0000016,12.18,5.000,26.040
037279450779,03727945077,70711,,PELOPONNESE,PELOPONNESE TAHINI,11.50,OZ,6,41.820,9.99,Specialty Groce,TAHINI & SESAME,GREEK,TAHINI & SESAME SEED BUTTER,SPECIALTY GROCERY,100,ACTIVE,0000009,6.00,4.750,6.480
037279386979,03727938697,70712,,PELOPONNESE,PELOPONNESE GRAPE LEAVE,8.500,OZ,6,36.600,8.79,Specialty Groce,PICKLED & MARIN,GREEK,PICKLED & MARINATED VEGETABLES,SPECIALTY GROCERY,100,ACTIVE,0000008,5.75,6.750,8.940
074401734321,07440173432,70775,,RICESELECT,RICESELECT COUSCOUS TRI CLR,26.50,OZ,4,32.880,11.79,Natural Grocery,ENTREE PREPARED,GRAIN & RICE DISHES,ENTREE PREPARED DISHES,NATURAL GROCERY,100,ACTIVE,0000008,8.00,6.000,7.380
072251007152,07225100715,70811,,NEAR EAST,NEAR EAST RICE MIX LGRAIN WLD GARLIC,5.900,OZ,12,33.000,3.99,Natural Grocery,ENTREE PREPARED,GRAIN & RICE DISHES,ENTREE PREPARED DISHES,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000008,7.06,7.000,5.730
893615002046,89361500204,70816,,DOCTOR IN THE K,DOCTOR IN THE KITCHEN CRACKER CNNMN CURRNT FL,5.000,OZ,6,25.980,6.19,Natural Grocery,CRACKERS CRISPB,RICE & ALTRNTIVE GRA,CRACKERS & CRISPBREADS,NATURAL GROCERY,100,ACTIVE,0000011,7.88,5.250,5.300
812907011092,81290701109,70834,,NATIERRA,NATIERRA MANGO FRZ DRD RAW,1.500,OZ,12,58.440,6.99,Natural Grocery,NUT SEED DRD FR,DRIED FRUIT,NUT SEED DRD FRUIT TRAIL MIXES,NATURAL GROCERY,100,ACTIVE,0000016,10.00,5.000,1.600
812907011085,81290701108,70835,,NATIERRA,NATIERRA BANANA FRZ DRD RAW,2.500,OZ,12,58.440,6.99,Natural Grocery,NUT SEED DRD FR,DRIED FRUIT,NUT SEED DRD FRUIT TRAIL MIXES,NATURAL GROCERY,100,ACTIVE,0000016,10.00,5.000,2.880
812907011115,81290701111,70840,,NATIERRA,NATIERRA PINEAPPLE FRZ DRD RAW,1.500,OZ,12,58.440,6.99,Natural Grocery,NUT SEED DRD FR,DRIED FRUIT,NUT SEED DRD FRUIT TRAIL MIXES,NATURAL GROCERY,100,ACTIVE,0000016,10.00,5.000,1.600
810165014435,81016501443,70860,,YUMEARTH,YUMEARTH LOLLI POP FAMILY SIZE,8.500,OZ,12,88.560,10.59,Natural Grocery,CHOCOLATE & NOV,OTHER CANDY,CHOCOLATE & NOVELTY CONFECTION,NATURAL GROCERY,100,ACTIVE,0000018,10.38,8.690,9.080
810165015029,81016501502,70861,,YUMEARTH,YUMEARTH GUMMY BEAR 10 SNKPK FMLY,7.000,OZ,12,86.280,10.29,Natural Grocery,CHOCOLATE & NOV,OTHER CANDY,CHOCOLATE & NOVELTY CONFECTION,NATURAL GROCERY,100,ACTIVE,0000019,11.50,8.130,6.750
072273137103,07227313710,70927,,KUNERS,KUNERS BEAN PINTO NO SALT,15.00,OZ,12,16.560,1.99,Specialty Groce,SS FRUIT & VEG,CANNED BEANS,SS FRUIT & VEG,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000012,10.00,4.500,12.960
072273135109,07227313510,70928,,KUNERS,KUNERS BEAN KIDNEY RED NO SALT,15.00,OZ,12,16.560,1.99,Specialty Groce,SS FRUIT & VEG,CANNED BEANS,SS FRUIT & VEG,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000012,10.00,4.500,13.380
072273133105,07227313310,70929,,KUNERS,KUNERS BEAN CHILI NO SALT,15.00,OZ,12,16.560,1.99,Specialty Groce,SS FRUIT & VEG,CANNED BEANS,SS FRUIT & VEG,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000012,10.00,4.500,12.960
072273136137,07227313613,70930,,KUNERS,KUNERS BEAN BLACK NO SALT,15.00,OZ,12,16.560,1.99,Specialty Groce,SS FRUIT & VEG,CANNED BEANS,SS FRUIT & VEG,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000012,10.00,4.500,13.120
070292153210,07029215321,70983,,SOUTHEASTERN MI,SOUTHEASTERN MILLS MIX GRAVY PPPRD,2.750,OZ,24,17.280,1.09,Specialty Groce,SPICES SEASONIN,GRAVY FOIL MIXES,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000010,59.25,6.500,4.700
070292160287,07029216028,70984,,SOUTHEASTERN MI,SOUTHEASTERN MILLS MIX GRAVY BROWN,1.760,OZ,24,17.280,1.09,Specialty Groce,SPICES SEASONIN,GRAVY FOIL MIXES,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000010,9.50,6.500,4.560
070292160294,07029216029,70985,,SOUTHEASTERN MI,SOUTHEASTERN MILLS MIX GRAVY COUNTRY,2.750,OZ,24,17.280,1.09,Specialty Groce,SPICES SEASONIN,GRAVY FOIL MIXES,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000009,9.00,6.250,5.100
070292161543,07029216154,70986,,SOUTHEASTERN MI,SOUTHEASTERN MILLS MIX GRAVY BISCUIT OLD FSHN,2.750,OZ,24,17.280,1.09,Specialty Groce,SPICES SEASONIN,GRAVY FOIL MIXES,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000010,9.25,6.250,4.810
038274516118,03827451611,71123,,HENGSTENBERG,HENGSTENBERG SAUERKRAUT BAVARIAN,24.00,OZ,12,39.600,4.79,Specialty Groce,OLIVES PICKLES,GERMAN,OLIVES PICKLES PEPPERS,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000015,11.00,5.250,28.680
071998002086,07199800208,71144,,TONY CHACHERES,TONY CHACHERES MIX HUSH PUPPY CREOLE,9.500,OZ,12,20.640,2.49,Specialty Groce,SPICES SEASONIN,FISH FRY COATINGS,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000011,10.00,7.000,8.160
041235000847,04123500084,71154,,MRS RENFRO,MRS RENFRO PEPPER NACHO SWTHOT SLCD,16.00,OZ,6,21.900,5.29,Specialty Groce,OLIVES PICKLES,PEPPERS,OLIVES PICKLES PEPPERS,SPECIALTY GROCERY,100,ACTIVE,0000010,6.75,5.500,10.000
041390020810,04139002081,71156,,KIKKOMAN,KIKKOMAN SAUCE SOY PONZU CITRUS,10.00,OZ,6,14.820,3.59,Specialty Groce,CONDIMENTS DRES,MAINSTREAM,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000009,7.25,8.500,14.440
733815003354,73381500335,71158,,SANGARIA,SANGARIA SODA RAMUNE ORGNL FLVR,6.760,FO,18,44.820,3.59,Specialty Groce,CELEBRATION BEV,AUTHENTIC,RTD BEV BEVERAGE ENHANCERS,SPECIALTY GROCERY,100,ACTIVE,0000013,6.70,8.200,19.000
023923300309,02392330030,71209,,EARTHS BEST,EARTHS BEST STRAINED CARROTS ORG,4.000,OZ,10,14.700,2.19,Natural Grocery,BABY FOOD,PUREES & MASHES,BABY FOOD,NATURAL GROCERY,100,ACTIVE,0000011,4.75,2.830,4.270
023923500488,02392350048,71211,,EARTHS BEST,EARTHS BEST STRAINED TRKY & VEG ORG,4.000,OZ,10,14.700,2.19,Natural Grocery,BABY FOOD,PUREES & MASHES,BABY FOOD,NATURAL GROCERY,100,ACTIVE,0000011,4.75,2.830,4.270
041390004605,04139000460,71275,,KIKKOMAN,KIKKOMAN SAUCE SUSHI & SASHIMI,10.00,OZ,12,34.920,4.19,Specialty Groce,CONDIMENTS DRES,MAINSTREAM,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000007,4.88,8.190,14.590
725342292110,72534229211,71405,,MUIR GLEN,MUIR GLEN TOMATO DICD RSTD GRN CHL,14.50,OZ,12,32.160,3.89,Natural Grocery,SS FRUIT & VEG,CANNED TOMATO,SS FRUIT & VEG,NATURAL GROCERY,100,ACTIVE,0000012,9.18,4.560,12.830
749880110231,74988011023,71414,,JULES DESTROOPE,JULES DESTROOPER COOKIE THIN ALMND,3.500,OZ,12,41.880,4.99,Specialty Groce,COOKIES DESSERT,PACKAGED COOKIES,COOKIES,SPECIALTY GROCERY,100,ACTIVE,0000015,10.04,4.100,6.360
749880110798,74988011079,71415,,JULES DESTROOPE,JULES DESTROOPER COOKIE BUTTER CRISPS,3.500,OZ,12,41.880,4.99,Specialty Groce,COOKIES DESSERT,PACKAGED COOKIES,COOKIES,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000015,10.04,4.100,4.050
070650800817,07065080081,71419,,TASTE OF THAI,TASTE OF THAI NOODLE RICE THIN,16.00,OZ,6,17.100,4.09,Specialty Groce,THAI,SS PASTA,SS PASTA,SPECIALTY GROCERY,100,ACTIVE,0000010,7.50,6.500,7.080
070650800831,07065080083,71420,,TASTE OF THAI,TASTE OF THAI NOODLE RICE XWIDE,16.00,OZ,6,17.100,4.09,Natural Grocery,THAI,SS PASTA,SS PASTA,NATURAL GROCERY,100,ACTIVE,0000010,7.50,6.500,7.080
071998500056,07199850005,71473,,TONY CHACHERES,TONY CHACHERES MARINADE & INJ GARLIC HERB,17.00,OZ,6,34.020,8.19,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000010,6.00,8.500,8.050
071998500063,07199850006,71474,,TONY CHACHERES,TONY CHACHERES MARINADE & INJ CREOLE H BACON,17.00,OZ,6,34.020,8.19,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000011,6.00,8.500,8.220
655156233941,65515623394,71484,,LOUIES,LOUIES SSNNG ITAL BEEF,3.000,OZ,12,20.520,2.49,Specialty Groce,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000005,5.37,6.750,3.000
737628010745,73762801074,71493,,THAI KITCHEN,THAI KITCHEN NOODLE RICE BROWN,8.000,OZ,6,28.260,6.79,Specialty Groce,THAI,SS PASTA,SS PASTA,SPECIALTY GROCERY,100,ACTIVE,0000016,4.87,.180,4.260
070734523335,07073452333,71559,,CELESTIAL SEASO,CELESTIAL SEASONINGS TEA HRBL LMN GNGR JAMIMI,20.00,BG,6,19.800,4.79,Natural Grocery,TEA,HERBAL TEA - BAGS,TEA,NATURAL GROCERY,100,ACTIVE,0000009,5.50,5.750,1.530
070734522260,07073452226,71561,,CELESTIAL SEASO,CELESTIAL SEASONINGS TEA PEACH SLEEPYTIME,20.00,BG,6,19.800,4.79,Natural Grocery,TEA,MEDICINAL TEA - BAGS,TEA,NATURAL GROCERY,100,ACTIVE,0000009,5.50,5.750,1.230
041729143906,04172914390,71705,,SKYLINE,SKYLINE CHILI ORIG,10.50,OZ,24,116.160,6.99,Specialty Groce,SS SOUP CHILI B,CHILI,SS SOUP CHILI BROTH STOCK BLLN,SPECIALTY GROCERY,100,ACTIVE,0000016,11.00,4.000,19.000
041729143913,04172914391,71706,,SKYLINE,SKYLINE CHILI ORIG,15.00,OZ,24,151.680,9.09,Specialty Groce,SS SOUP CHILI B,CHILI,SS SOUP CHILI BROTH STOCK BLLN,SPECIALTY GROCERY,100,ACTIVE,0000018,12.00,4.500,25.920
071072004050,07107200405,71719,,ALESSI,ALESSI SAUCE PUTTANESCA,24.00,OZ,6,24.960,5.99,Specialty Groce,SS PASTA & PIZZ,SS PASTA SAUCE,SS PASTA & PIZZA SAUCES,SPECIALTY GROCERY,100,ACTIVE,0000010,6.75,6.500,13.750
071072004012,07107200401,71721,,ALESSI,ALESSI SAUCE MARINARA CHUNKY,24.00,OZ,6,24.960,5.99,Specialty Groce,SS PASTA & PIZZ,SS PASTA SAUCE,SS PASTA & PIZZA SAUCES,SPECIALTY GROCERY,100,ACTIVE,0000010,6.75,6.500,13.750
071072004005,07107200400,71722,,ALESSI,ALESSI SAUCE MARINARA SMOOTH,24.00,OZ,6,24.960,5.99,Specialty Groce,SS PASTA & PIZZ,SS PASTA SAUCE,SS PASTA & PIZZA SAUCES,SPECIALTY GROCERY,100,ACTIVE,0000010,6.75,6.500,13.750
015665601042,01566560104,71748,,PIRATE BRANDS,PIRATE BRANDS PIRATE BTY WHT CHDR,1.000,OZ,24,26.160,1.59,Natural Grocery,CHIPS & PRETZEL,PUFFED SNACKS,CHIPS & PRETZELS,NATURAL GROCERY,100,ACTIVE,0000017,11.75,9.500,2.830
656385366004,65638536600,71799,,DROGHERIA & ALI,DROGHERIA & ALIMENTARI MILL GARLIC ORG,1.760,OZ,6,18.660,4.49,Specialty Groce,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000014,9.75,15.250,33.120
670171112330,67017111233,71821,,KERNEL SEASONS,KERNEL SEASONS SSNNG WHTE CHDR,2.850,OZ,6,17.040,4.09,Specialty Groce,CHIPS & PRETZEL,RTE POPCORN,CHIPS & PRETZELS,SPECIALTY GROCERY,100,ACTIVE,0000006,4.00,5.000,1.500
670171114556,67017111455,71822,,KERNEL SEASONS,KERNEL SEASONS SSNNG NACHO CHSE,2.850,OZ,6,17.040,4.09,Specialty Groce,CHIPS & PRETZEL,RTE POPCORN,CHIPS & PRETZELS,SPECIALTY GROCERY,100,ACTIVE,0000006,4.00,5.000,1.500
670171110114,67017111011,71823,,KERNEL SEASONS,KERNEL SEASONS SEASONING PARMESAN GARLIC,2.850,OZ,6,17.040,4.09,Specialty Groce,CHIPS & PRETZEL,RTE POPCORN,CHIPS & PRETZELS,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000006,4.00,5.000,1.500
670171117885,67017111788,71825,,KERNEL SEASONS,KERNEL SEASONS SSNNG RANCH,2.700,OZ,6,17.040,4.09,Specialty Groce,CHIPS & PRETZEL,RTE POPCORN,CHIPS & PRETZELS,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000006,4.00,5.000,1.500
076406062300,07640606230,71907,,JUMEX,JUMEX JUICE TETRA STRWBRY,32.46,FO,12,23.520,2.89,Specialty Groce,AUTHENTIC MEXIC,SINGLE TYPE JUICE,SINGLE TYPE JUICE,SPECIALTY GROCERY,100,ACTIVE,0000014,7.88,8.250,29.160
604183180506,60418318050,71971,,FRONTERA,FRONTERA CHIP TRTLA LIME&SEASLT,10.00,OZ,12,32.760,3.99,Natural Grocery,CHIPS & PRETZEL,CORN & TORTILLA CHIP,CHIPS & PRETZELS,NATURAL GROCERY,100,ACTIVE,0000022,16.37,12.370,9.440
011152035451,01115203545,72014,,BOTAN,BOTAN RICE CALROSE,10.00,LB,4,43.800,15.69,Specialty Groce,BEANS GRAINS RI,AUTHENTIC,BEANS GRAINS RICE,SPECIALTY GROCERY,100,ACTIVE,0000022,12.00,6.000,41.360
011152034706,01115203470,72015,,BOTAN,BOTAN RICE CALROSE,5.000,LB,8,44.080,7.89,Specialty Groce,BEANS GRAINS RI,AUTHENTIC,BEANS GRAINS RICE,SPECIALTY GROCERY,100,ACTIVE,0000019,10.00,7.500,40.560
680692101027,68069210102,72041,,NUMI TEAS,NUMI TEAS TEA ROOIBOS,18.00,BG,6,31.680,7.59,Natural Grocery,TEA,AFRICAN RED TEA - BA,TEA,NATURAL GROCERY,100,ACTIVE,0000008,7.00,5.500,1.440
680692101034,68069210103,72042,,NUMI TEAS,NUMI TEAS TEA HERB BUSHMANS HONEYBUSH,18.00,BG,6,31.680,7.59,Natural Grocery,TEA,AFRICAN RED TEA - BA,TEA,NATURAL GROCERY,100,ACTIVE,0000008,7.00,5.500,1.440
680692101089,68069210108,72045,,NUMI TEAS,NUMI TEAS TEA JASMINE GREEN,18.00,BG,6,31.680,7.59,Natural Grocery,TEA,GREEN TEA BAG,TEA,NATURAL GROCERY,100,ACTIVE,0000008,7.40,5.500,1.380
680692101706,68069210170,72047,,NUMI TEAS,NUMI TEAS TEA BLCK EARL GREY BERGAMOT AS,18.00,BG,6,31.680,7.59,Natural Grocery,TEA,BLACK TEA BAG,TEA,NATURAL GROCERY,100,ACTIVE,0000008,7.00,5.500,1.320
011152285894,01115228589,72048,,NISHIKI,NISHIKI RICE SUSHI PREMIUM,5.000,LB,8,52.480,9.39,Specialty Groce,BEANS GRAINS RI,MAINSTREAM,BEANS GRAINS RICE,SPECIALTY GROCERY,100,ACTIVE,0000018,10.00,8.000,42.000
073562005103,07356200510,72281,,NOH FOODS,NOH FOODS SAUCE BBQ HAWAIIAN,20.00,OZ,6,39.660,9.49,Specialty Groce,CONDIMENTS DRES,MAINSTREAM,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000009,6.25,7.250,11.870
071072003046,07107200304,72289,,ALESSI,ALESSI COOKIE SFOGLIATINE,7.000,OZ,12,28.920,3.49,Specialty Groce,ITALIAN,COOKIES DESSERT,COOKIES,SPECIALTY GROCERY,100,ACTIVE,0000019,9.25,7.750,6.600
021136110449,02113611044,72292,,TOPO CHICO,TOPO CHICO WATR MINERAL W LIME GLASS,12.00,FO,24,35.040,2.09,Specialty Groce,AUTHENTIC MEXIC,SPARKLING WATER,MEXICAN SPARKLING WATER,SPECIALTY GROCERY,100,ACTIVE,0000015,10.30,9.600,34.800
013562300624,01356230062,72315,,ANNIES HOMEGROW,ANNIES HOMEGROWN MAC & CHS SHELL WHT CHDR FML,10.50,OZ,6,21.660,5.19,Natural Grocery,ENTREE PREPARED,MACARONI & CHEESE DI,ENTREE PREPARED DISHES,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000011,5.00,7.600,4.960
071524100453,07152410045,72370,,LA PREFERIDA,LA PREFERIDA BEAN REFRIED BLACK AUTHEN,16.00,OZ,12,19.080,2.29,Specialty Groce,AUTHENTIC MEXIC,BEANS GRAINS RICE,BEANS GRAINS RICE,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000012,8.00,5.000,13.080
070381000685,07038100068,72390,,JOHNNYS FINE FO,JOHNNYS FINE FOODS AU JUS POWDER,1.100,OZ,12,17.520,2.09,Specialty Groce,SPICES SEASONIN,GRAVY FOIL MIXES,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000005,4.69,4.440,1.050
071012055555,07101205555,72422,,KING ARTHUR,KING ARTHUR FLOUR WHL WHT WHITE,5.000,LB,8,57.840,10.39,Natural Grocery,BAKING INGREDIE,FLOUR - WHOLE WHEAT,BAKING INGREDIENTS SUPPLIES,NATURAL GROCERY,100,ACTIVE,0000016,11.20,8.000,40.000
073416020337,07341602033,72442,,LUNDBERG,LUNDBERG RISOTTO ALFREDO ORG,5.500,OZ,6,19.980,4.79,Natural Grocery,ENTREE PREPARED,GRAIN & RICE DISHES,ENTREE PREPARED DISHES,NATURAL GROCERY,100,ACTIVE,0000004,11.81,7.250,3.200
045243000417,04524300041,72505,,SPRECHER,SPRECHER SODA GINGER ALE 4PK,64.00,FO,6,30.000,7.19,Specialty Groce,CRAFT SODA,REGULAR,CRAFT SODA,SPECIALTY GROCERY,100,ACTIVE,0000012,18.00,9.000,42.000
045243000448,04524300044,72506,,SPRECHER,SPRECHER SODA ROOT BEER LOW CAL 4PK,64.00,FO,6,30.000,7.19,Specialty Groce,CRAFT SODA,DIET,CRAFT SODA,SPECIALTY GROCERY,100,ACTIVE,0000018,12.25,9.000,42.000
045243000455,04524300045,72507,,SPRECHER,SPRECHER SODA ORNG DRM 4PK,64.00,FO,6,30.000,7.19,Specialty Groce,CRAFT SODA,REGULAR,CRAFT SODA,SPECIALTY GROCERY,100,ACTIVE,0000018,12.00,9.000,40.980
045243000424,04524300042,72508,,SPRECHER,SPRECHER SODA CREAM 4PK,64.00,FO,6,30.000,7.19,Specialty Groce,CRAFT SODA,REGULAR,CRAFT SODA,SPECIALTY GROCERY,100,ACTIVE,0000018,12.00,9.000,42.000
075462020156,07546202015,72513,,DELL ALPE,DELL ALPE GIARDINIERA HOT,32.00,OZ,6,42.840,10.29,Specialty Groce,OLIVES PICKLES,PEPPERS,OLIVES PICKLES PEPPERS,SPECIALTY GROCERY,100,ACTIVE,0000012,8.00,7.250,18.480
075462020163,07546202016,72514,,DELL ALPE,DELL ALPE GIARDINIERA MILD,32.00,OZ,6,42.840,10.29,Specialty Groce,OLIVES PICKLES,PEPPERS,OLIVES PICKLES PEPPERS,SPECIALTY GROCERY,100,ACTIVE,0000012,8.00,7.250,18.480
072310010680,07231001068,72552,,BIGELOW,BIGELOW TEA CHAMOMILE MINT 20BG,1.460,OZ,6,16.500,3.99,Specialty Groce,TEA,HERBAL TEA - BAGS,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.320
070491121171,07049112117,72556,,MASTER OF MIXES,MASTER OF MIXES MIX BLOODY MARY 5PPPR,33.80,FO,6,21.420,5.19,Specialty Groce,COCKTAIL MIXERS,DRINK MIXER NON SPAR,COCKTAIL MIXERS,SPECIALTY GROCERY,100,ACTIVE,0000014,11.25,12.630,32.250
070491212329,07049121232,72557,,MASTER OF MIXES,MASTER OF MIXES MIX RTD SWEET N SOUR,33.80,OZ,6,21.420,5.19,Specialty Groce,COCKTAIL MIXERS,DRINK MIXER NON SPAR,COCKTAIL MIXERS,SPECIALTY GROCERY,100,ACTIVE,0000014,11.25,12.630,36.250
070491021563,07049102156,72558,,MASTER OF MIXES,MASTER OF MIXES MIX TOM COLLINS,33.80,OZ,6,21.420,5.19,Specialty Groce,COCKTAIL MIXERS,DRINK MIXER NON SPAR,COCKTAIL MIXERS,SPECIALTY GROCERY,100,ACTIVE,0000014,11.25,12.630,36.700
070491212824,07049121282,72559,,MASTER OF MIXES,MASTER OF MIXES MIX PINA COLADA,33.80,FO,6,21.420,5.19,Specialty Groce,COCKTAIL MIXERS,DRINK MIXER NON SPAR,COCKTAIL MIXERS,SPECIALTY GROCERY,100,ACTIVE,0000014,11.25,12.630,37.800
070491213227,07049121322,72560,,MASTER OF MIXES,MASTER OF MIXES MIX DAIQUIRI STRWBRY,33.80,OZ,6,21.420,5.19,Specialty Groce,COCKTAIL MIXERS,DRINK MIXER NON SPAR,COCKTAIL MIXERS,SPECIALTY GROCERY,100,ACTIVE,0000014,11.25,12.630,37.080
070491212725,07049121272,72561,,MASTER OF MIXES,MASTER OF MIXES MIX MRGRTA,33.80,FO,6,21.420,5.19,Specialty Groce,COCKTAIL MIXERS,DRINK MIXER NON SPAR,COCKTAIL MIXERS,SPECIALTY GROCERY,100,ACTIVE,0000014,11.25,12.630,36.000
070491212770,07049121277,72563,,MASTER OF MIXES,MASTER OF MIXES MIX MRGRTA,1.750,LT,6,35.220,8.39,Specialty Groce,COCKTAIL MIXERS,DRINK MIXER NON SPAR,COCKTAIL MIXERS,SPECIALTY GROCERY,100,ACTIVE,0000014,10.00,12.750,28.500
